RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
REQUEST	4	login	/cgi-bin/login.pl	1676394272077	1676394272167	OK	 
GROUP	4	login	1676394271900	1676394272167	265	OK
REQUEST	4	buyTicket	/cgi-bin/welcome.pl	1676394272168	1676394272259	OK	 
REQUEST	4	buyTicket	/cgi-bin/nav.pl	1676394272260	1676394272347	OK	 
REQUEST	4	buyTicket	/cgi-bin/reservations.pl	1676394272348	1676394272452	OK	 
REQUEST	4	buyTicket	/cgi-bin/reservations.pl	1676394272453	1676394272556	OK	 
REQUEST	4	buyTicket	/cgi-bin/reservations.pl	1676394272557	1676394272659	OK	 
REQUEST	4	buyTicket	/cgi-bin/reservations.pl	1676394272661	1676394272763	OK	 
GROUP	4	buyTicket	1676394272167	1676394272764	589	OK
REQUEST	4	itinerary	/cgi-bin/welcome.pl	1676394272764	1676394272850	OK	 
REQUEST	4	itinerary	/cgi-bin/nav.pl	1676394272851	1676394272941	OK	 
REQUEST	4	itinerary	/cgi-bin/itinerary.pl	1676394272942	1676394273149	OK	 
GROUP	4	itinerary	1676394272764	1676394273151	383	OK
REQUEST	4	signOff	/cgi-bin/welcome.pl	1676394273151	1676394273236	OK	 
REQUEST	4	signOff	/cgi-bin/nav.pl	1676394273237	1676394273327	OK	 
REQUEST	4	signOff	/WebTours/home.html	1676394273328	1676394273372	OK	 
GROUP	4	signOff	1676394273151	1676394273372	219	OK
USER	mainScenario	4	END	1676394271681	1676394273372
USER	mainScenario	5	START	1676394280682	1676394280682
REQUEST	5	open	/webtours/	1676394280683	1676394280709	OK	 
REQUEST	5	open	/cgi-bin/welcome.pl	1676394280709	1676394281130	OK	 
REQUEST	5	open	/cgi-bin/nav.pl	1676394281131	1676394281240	OK	 
GROUP	5	open	1676394280682	1676394281240	556	OK
REQUEST	5	login	/cgi-bin/login.pl	1676394281241	1676394281295	OK	 
REQUEST	5	login	/cgi-bin/nav.pl	1676394281296	1676394281404	OK	 
REQUEST	5	login	/cgi-bin/login.pl	1676394281405	1676394281520	OK	 
GROUP	5	login	1676394281240	1676394281520	277	OK
REQUEST	5	buyTicket	/cgi-bin/welcome.pl	1676394281521	1676394281611	OK	 
REQUEST	5	buyTicket	/cgi-bin/nav.pl	1676394281612	1676394281702	OK	 
REQUEST	5	buyTicket	/cgi-bin/reservations.pl	1676394281703	1676394281810	OK	 
REQUEST	5	buyTicket	/cgi-bin/reservations.pl	1676394281811	1676394281923	OK	 
REQUEST	5	buyTicket	/cgi-bin/reservations.pl	1676394281924	1676394282031	OK	 
REQUEST	5	buyTicket	/cgi-bin/reservations.pl	1676394282032	1676394282131	OK	 
GROUP	5	buyTicket	1676394281521	1676394282132	605	OK
REQUEST	5	itinerary	/cgi-bin/welcome.pl	1676394282132	1676394282217	OK	 
REQUEST	5	itinerary	/cgi-bin/nav.pl	1676394282217	1676394282305	OK	 
REQUEST	5	itinerary	/cgi-bin/itinerary.pl	1676394282306	1676394282724	OK	 
GROUP	5	itinerary	1676394282132	1676394282727	591	OK
REQUEST	5	signOff	/cgi-bin/welcome.pl	1676394282727	1676394282781	OK	 
REQUEST	5	signOff	/cgi-bin/nav.pl	1676394282782	1676394282884	OK	 
REQUEST	5	signOff	/WebTours/home.html	1676394282885	1676394282932	OK	 
GROUP	5	signOff	1676394282727	1676394282932	203	OK
USER	mainScenario	5	END	1676394280682	1676394282932
USER	mainScenario	6	START	1676394289670	1676394289670
REQUEST	6	open	/webtours/	1676394289671	1676394289721	OK	 
REQUEST	6	open	/cgi-bin/welcome.pl	1676394289722	1676394289780	OK	 
REQUEST	6	open	/cgi-bin/nav.pl	1676394289781	1676394289870	OK	 
